className, methodName, marks
class tests.UserTest,testMoreFollowers,5.0
class tests.UserTest,testUser,5.0
class tests.UserTest,testMoreFollowers,5.0
class tests.UserTest,testUser,5.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testPrintTimeline,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testPrintTimeline,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testPrintTimeline,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testPrintTimeline,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testPrintTimeline,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testPrintTimeline,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testSearchAll,2.0
class tests.TimelineTest,testMostActivity,2.0
class tests.TimelineTest,testPrintTimeline,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testCountTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testCountSearchResults,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testArrangeByPoster,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testArrangeByPoster,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testArrangeByPoster,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testArrangeByPoster,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testArrangeByPoster,2.0
class tests.TwitterTest,testRemoveDuplicates,2.0
class tests.TwitterTest,testCountIntersection,2.0
class tests.TwitterTest,testArrangeByPoster,2.0
class tests.TwitterTest,testMutuallyFollowing,2.0
