File name,Time,Bottle,DepSM,PrDM,T090C,T190C,C0S/m,C1S/m,Sal00,Sal11,Sigma-00,Sigma-11,Sigma-t00,Sigma-t11,Sbox0Mm/Kg,Sbeox0ML/L,Sbeox0Mm/L,Sbeox0PS,Sbox1Mm/Kg,Sbeox1ML/L,Sbeox1Mm/L,Sbeox1PS,CStarTr0,Par,SvCM,SvCM1,FlECO-AFL,AltM,Potemp090C,Potemp190C,Latitude,Longitude,Scan
HI2011_T01.hex,2020-09-11T09:56:57,1,1000.820,1009.448,4.0916,4.0926,3.260817,3.262374,34.4365,34.4537,27.3364,27.3500,27.3284,27.3420,69.016,1.5876,70.902,21.879,67.138,1.5444,68.974,21.287,94.8981,1.0000e-12,1482.89,1482.91,-0.1814,98.71,4.0145,4.0155,20.50290,126.49508,53191
HI2011_T01.hex,2020-09-11T09:56:57,2,1000.904,1009.533,4.0908,4.0919,3.260688,3.262327,34.4358,34.4538,27.3359,27.3501,27.3279,27.3421,69.065,1.5887,70.953,21.894,67.183,1.5455,69.020,21.301,94.8923,1.0000e-12,1482.88,1482.91,-0.1945,98.71,4.0137,4.0148,20.50290,126.49508,53440
HI2011_T01.hex,2020-09-11T09:56:57,3,750.632,756.646,5.4970,5.5007,3.358927,3.360561,34.2530,34.2678,27.0322,27.0435,27.0245,27.0358,64.024,1.4723,65.755,20.957,62.370,1.4343,64.056,20.419,94.8458,1.0000e-12,1484.23,1484.26,-0.1808,98.71,5.4328,5.4364,20.50290,126.49506,63891
HI2011_T01.hex,2020-09-11T09:56:57,4,750.691,756.705,5.4973,5.4987,3.358969,3.360388,34.2532,34.2679,27.0323,27.0438,27.0246,27.0361,63.988,1.4715,65.718,20.945,62.407,1.4352,64.095,20.431,94.8526,1.0000e-12,1484.23,1484.26,-0.1820,76.57,5.4330,5.4343,20.50290,126.49506,64073
HI2011_T01.hex,2020-09-11T09:56:57,5,501.078,504.788,10.2570,10.2503,3.779615,3.780352,34.2284,34.2421,26.3158,26.3276,26.3055,26.3173,133.730,3.0732,137.249,48.697,131.223,3.0156,134.677,47.782,94.8484,1.0000e-12,1498.14,1498.13,-0.1584,98.71,10.1971,10.1905,20.50290,126.49506,74493
HI2011_T01.hex,2020-09-11T09:56:57,6,501.069,504.779,10.2493,10.2439,3.778991,3.779913,34.2293,34.2437,26.3178,26.3300,26.3075,26.3197,133.502,3.0680,137.015,48.606,131.059,3.0119,134.510,47.716,94.8431,1.0000e-12,1498.11,1498.11,-0.1858,98.71,10.1895,10.1841,20.50290,126.49506,74663
HI2011_T01.hex,2020-09-11T09:56:57,7,300.558,302.636,17.3577,17.3601,4.509602,4.511420,34.7479,34.7615,25.2475,25.2573,25.2353,25.2451,182.323,4.1855,186.927,76.866,178.148,4.0897,182.648,75.116,94.8188,1.0000e-12,1518.64,1518.66,-0.2032,98.71,17.3070,17.3094,20.50290,126.49506,83329
HI2011_T01.hex,2020-09-11T09:56:57,8,300.699,302.778,17.3643,17.3567,4.510265,4.511222,34.7479,34.7627,25.2459,25.2590,25.2337,25.2468,181.891,4.1756,186.483,76.693,178.603,4.1002,183.115,75.304,94.8230,1.0000e-12,1518.66,1518.65,-0.1789,98.71,17.3135,17.3060,20.50290,126.49506,83543
HI2011_T01.hex,2020-09-11T09:56:57,9,200.263,201.598,22.3173,22.2082,5.025940,5.017714,34.9095,34.9327,24.0711,24.1196,24.0597,24.1082,174.418,3.9995,178.616,80.534,169.197,3.8799,173.278,77.987,94.7167,1.0000e-12,1530.96,1530.70,-0.0980,98.71,22.2770,22.1680,20.50290,126.49506,89065
HI2011_T01.hex,2020-09-11T09:56:57,10,200.459,201.795,22.2244,22.2080,5.018714,5.017716,34.9275,34.9329,24.1110,24.1197,24.0997,24.1084,173.469,3.9779,177.651,79.976,169.646,3.8902,173.738,78.194,94.7177,1.0000e-12,1530.74,1530.71,-0.0924,98.71,22.1842,22.1678,20.50290,126.49506,89244
HI2011_T01.hex,2020-09-11T09:56:57,11,136.426,137.314,25.9172,25.9200,5.373238,5.375027,34.7398,34.7507,22.8723,22.8796,22.8628,22.8701,194.198,4.4478,198.640,95.202,190.139,4.3549,194.489,93.223,94.1599,1.0000e-12,1538.62,1538.63,0.1992,98.71,25.8867,25.8895,20.50290,126.49506,94481
HI2011_T01.hex,2020-09-11T09:56:57,12,136.301,137.188,25.9362,25.9477,5.375024,5.377521,34.7385,34.7479,22.8654,22.8689,22.8559,22.8594,194.330,4.4508,198.774,95.296,190.034,4.3525,194.380,93.213,94.1467,1.0000e-12,1538.66,1538.70,0.2116,98.71,25.9056,25.9171,20.50290,126.49506,94671
HI2011_T01.hex,2020-09-11T09:56:57,13,90.516,91.095,27.9722,27.9682,5.577719,5.578885,34.6779,34.6889,22.1685,22.1781,22.1615,22.1711,199.977,4.5770,204.410,101.330,195.138,4.4663,199.466,98.879,94.0563,1.0000e-12,1542.46,1542.47,0.0640,98.71,27.9507,27.9468,20.50290,126.49506,98695
HI2011_T01.hex,2020-09-11T09:56:57,14,90.556,91.135,27.9777,27.9774,5.578188,5.579717,34.6771,34.6881,22.1661,22.1745,22.1591,22.1675,200.979,4.6000,205.434,101.846,195.045,4.4642,199.370,98.845,94.0574,1.0000e-12,1542.47,1542.49,0.0640,98.71,27.9563,27.9559,20.50290,126.49506,98860
HI2011_T01.hex,2020-09-11T09:56:57,15,75.091,75.569,28.5429,28.5443,5.628170,5.629865,34.6158,34.6265,21.9334,21.9410,21.9274,21.9350,195.733,4.4789,200.026,100.050,190.121,4.3505,194.293,97.190,93.9971,1.0000e-12,1543.39,1543.40,-0.0139,98.71,28.5249,28.5262,20.50290,126.49506,101455
HI2011_T01.hex,2020-09-11T09:56:57,16,75.054,75.532,28.5416,28.5443,5.628048,5.629891,34.6159,34.6267,21.9339,21.9411,21.9280,21.9351,195.256,4.4680,199.539,99.804,190.333,4.3553,194.509,97.299,94.0188,1.0000e-12,1543.38,1543.40,0.0160,98.71,28.5235,28.5263,20.50290,126.49506,101680
HI2011_T01.hex,2020-09-11T09:56:57,17,50.325,50.642,29.8070,29.8085,5.754310,5.756047,34.5738,34.5845,21.4766,21.4841,21.4724,21.4799,180.756,4.1343,184.638,94.235,177.165,4.0522,180.971,92.372,94.1891,1.0000e-12,1545.62,1545.63,-0.0574,98.71,29.7945,29.7960,20.50290,126.49506,104642
HI2011_T01.hex,2020-09-11T09:56:57,18,50.342,50.659,29.8067,29.8090,5.754296,5.756123,34.5739,34.5847,21.4768,21.4841,21.4726,21.4799,181.581,4.1532,185.481,94.665,176.466,4.0362,180.258,92.008,94.1928,1.0000e-12,1545.62,1545.63,-0.0562,98.71,29.7942,29.7965,20.50290,126.49506,104802
HI2011_T01.hex,2020-09-11T09:56:57,19,30.602,30.793,29.9776,29.9794,5.764509,5.766302,34.5265,34.5373,21.3815,21.3889,21.3789,21.3863,180.860,4.1363,184.727,94.514,176.108,4.0277,179.875,92.040,94.1335,6.9775e-03,1545.59,1545.61,-0.1291,98.71,29.9699,29.9718,20.50290,126.49506,107685
HI2011_T01.hex,2020-09-11T09:56:57,20,30.448,30.639,29.9759,29.9780,5.764357,5.766141,34.5266,34.5372,21.3822,21.3894,21.3796,21.3868,181.506,4.1511,185.387,94.849,176.958,4.0471,180.743,92.482,94.1277,5.3667e-03,1545.58,1545.60,-0.1584,98.71,29.9683,29.9704,20.50290,126.49506,107867
HI2011_T01.hex,2020-09-11T09:56:57,21,10.524,10.589,29.9635,29.9647,5.756795,5.758541,34.4901,34.5010,21.3573,21.3650,21.3564,21.3641,181.158,4.1430,185.027,94.627,177.023,4.0485,180.805,92.475,94.1055,8.6986e-03,1545.18,1545.20,-0.1304,98.71,29.9609,29.9621,20.50290,126.49506,110978
HI2011_T01.hex,2020-09-11T09:56:57,22,10.449,10.514,29.9670,29.9684,5.757115,5.758922,34.4897,34.5009,21.3558,21.3637,21.3549,21.3628,181.201,4.1440,185.071,94.655,177.213,4.0528,180.998,92.580,94.0589,9.3033e-03,1545.19,1545.20,-0.1304,98.71,29.9644,29.9658,20.50290,126.49508,111309
HI2011_T01.hex,2020-09-11T09:56:57,23,1.869,1.881,30.1863,30.1874,5.783642,5.785431,34.5148,34.5261,21.2990,21.3070,21.2988,21.3069,180.364,4.1246,184.206,94.556,175.771,4.0196,179.516,92.156,94.1631,4.4799e-01,1545.52,1545.54,-0.1285,98.68,30.1859,30.1870,20.50290,126.49506,112385
HI2011_T01.hex,2020-09-11T09:56:57,24,2.171,2.185,30.1855,30.1803,5.783527,5.784530,34.5145,34.5250,21.2991,21.3087,21.2989,21.3085,180.799,4.1346,184.650,94.783,176.501,4.0363,180.262,92.528,94.1383,3.9316e-01,1545.53,1545.53,-0.1428,98.68,30.1850,30.1798,20.50290,126.49506,112536
HI2011_T02.hex,2020-09-15T07:54:27,1,999.794,1008.411,4.0485,4.0487,3.250488,3.250780,34.3604,34.3636,27.2802,27.2828,27.2723,27.2749,56.335,1.2958,57.872,17.830,54.301,1.2491,55.783,17.187,90.8987,1.0000e-12,1482.59,1482.59,-0.1789,98.71,3.9721,3.9722,20.50098,127.49976,45148
HI2011_T02.hex,2020-09-15T07:54:27,2,999.704,1008.320,4.0534,4.0523,3.250836,3.251031,34.3594,34.3629,27.2790,27.2819,27.2711,27.2740,56.342,1.2960,57.879,17.835,54.290,1.2488,55.771,17.185,90.8860,1.0000e-12,1482.61,1482.61,-0.1858,98.71,3.9769,3.9757,20.50098,127.49976,45334
HI2011_T02.hex,2020-09-15T07:54:27,3,750.631,756.645,5.8819,5.8839,3.387805,3.387975,34.1909,34.1908,26.9364,26.9360,26.9281,26.9277,73.458,1.6891,75.436,24.251,71.422,1.6423,73.346,23.580,90.8580,1.0000e-12,1485.69,1485.70,-0.1883,98.71,5.8155,5.8175,20.50098,127.49976,55595
HI2011_T02.hex,2020-09-15T07:54:27,4,750.616,756.630,5.8827,5.8838,3.387875,3.387955,34.1909,34.1907,26.9363,26.9360,26.9280,26.9278,73.534,1.6909,75.515,24.277,71.425,1.6424,73.349,23.581,90.8548,1.0000e-12,1485.70,1485.70,-0.1808,98.71,5.8163,5.8173,20.50098,127.49976,55782
HI2011_T02.hex,2020-09-15T07:54:27,5,500.458,504.162,11.2322,11.2551,3.873150,3.875052,34.2533,34.2509,26.1635,26.1575,26.1520,26.1459,163.885,3.7656,168.173,60.939,159.192,3.6578,163.356,59.221,90.9098,1.0000e-12,1501.60,1501.68,-0.2057,98.71,11.1688,11.1916,20.50098,127.49976,65908
HI2011_T02.hex,2020-09-15T07:54:27,6,500.530,504.234,11.2605,11.2454,3.875715,3.874158,34.2523,34.2509,26.1576,26.1593,26.1461,26.1477,163.973,3.7676,168.262,61.008,159.580,3.6667,163.755,59.354,90.9055,1.0000e-12,1501.70,1501.65,-0.2182,98.71,11.1971,11.1820,20.50098,127.49976,66089
HI2011_T02.hex,2020-09-15T07:54:27,7,301.001,303.082,18.0677,18.0734,4.585895,4.585399,34.7958,34.7868,25.1118,25.1035,25.0990,25.0906,187.527,4.3044,192.236,80.146,183.425,4.2103,188.030,78.397,90.8876,1.0000e-12,1520.79,1520.80,-0.1503,86.95,18.0155,18.0212,20.50100,127.49976,74917
HI2011_T02.hex,2020-09-15T07:54:27,8,300.886,302.966,18.0687,18.0692,4.586001,4.584981,34.7960,34.7868,25.1117,25.1046,25.0988,25.0917,187.877,4.3125,192.595,80.297,183.300,4.2074,187.901,78.337,90.8849,1.0000e-12,1520.79,1520.79,-0.1372,98.71,18.0165,18.0170,20.50100,127.49976,75115
HI2011_T02.hex,2020-09-15T07:54:27,9,200.777,202.115,22.4800,22.4760,5.045762,5.043630,34.9334,34.9201,24.0434,24.0344,24.0319,24.0228,176.377,4.0443,180.618,81.682,173.368,3.9753,177.535,80.276,90.7877,1.0000e-12,1531.42,1531.40,-0.0999,98.71,22.4394,22.4354,20.50098,127.49976,80713
HI2011_T02.hex,2020-09-15T07:54:27,10,200.894,202.234,22.4862,22.4770,5.046379,5.043722,34.9333,34.9200,24.0415,24.0340,24.0300,24.0225,177.529,4.0707,181.797,82.224,173.343,3.9747,177.509,80.266,90.7771,1.0000e-12,1531.44,1531.40,-0.0955,98.71,22.4455,22.4363,20.50098,127.49976,80884
HI2011_T02.hex,2020-09-15T07:54:27,11,150.757,151.744,24.6691,24.6740,5.259266,5.257776,34.8525,34.8376,23.3397,23.3269,23.3298,23.3171,179.772,4.1193,183.967,86.379,174.779,4.0048,178.855,83.979,90.4095,1.2811e-02,1535.99,1535.99,0.3132,98.71,24.6365,24.6414,20.50100,127.49976,84702
HI2011_T02.hex,2020-09-15T07:54:27,12,150.732,151.719,24.6684,24.6665,5.259487,5.257086,34.8546,34.8382,23.3415,23.3297,23.3317,23.3198,179.105,4.1040,183.286,86.060,174.635,4.0015,178.709,83.900,90.4080,1.5973e-02,1535.99,1535.97,0.3026,98.71,24.6359,24.6339,20.50100,127.49976,84859
HI2011_T02.hex,2020-09-15T07:54:27,13,150.963,151.951,24.6627,24.6677,5.258978,5.257263,34.8552,34.8385,23.3437,23.3295,23.3338,23.3197,179.245,4.1072,183.429,86.118,174.738,4.0039,178.814,83.951,90.4164,1.2886e-02,1535.98,1535.98,0.3014,98.71,24.6301,24.6351,20.50100,127.49976,85019
HI2011_T02.hex,2020-09-15T07:54:27,14,100.460,101.105,26.2234,26.2370,5.409036,5.407695,34.7788,34.7588,22.8038,22.7845,22.7967,22.7774,196.205,4.4935,200.679,96.696,191.636,4.3888,196.002,94.453,90.2140,5.8742e-01,1538.77,1538.78,0.0908,98.68,26.2007,26.2143,20.50098,127.49976,88872
HI2011_T02.hex,2020-09-15T07:54:27,15,100.250,100.894,26.2194,26.2356,5.408515,5.407542,34.7781,34.7589,22.8045,22.7849,22.7974,22.7778,195.727,4.4825,200.190,96.454,191.770,4.3918,196.140,94.517,90.1981,5.9041e-01,1538.75,1538.77,0.0989,98.68,26.1967,26.2129,20.50098,127.49976,89046
HI2011_T02.hex,2020-09-15T07:54:27,16,100.113,100.756,26.2130,26.2370,5.408008,5.407712,34.7793,34.7591,22.8074,22.7846,22.8003,22.7776,195.477,4.4768,199.935,96.321,191.306,4.3812,195.665,94.291,90.1960,5.9429e-01,1538.74,1538.77,0.1020,98.68,26.1905,26.2143,20.50098,127.49976,89228
HI2011_T02.hex,2020-09-15T07:54:27,17,75.432,75.911,28.1873,28.1769,5.602062,5.598080,34.6943,34.6742,22.1094,22.0976,22.1035,22.0918,199.452,4.5648,203.862,101.424,194.270,4.4461,198.563,98.760,90.1558,1.6881e+00,1542.70,1542.66,-0.0431,98.68,28.1694,28.1590,20.50098,127.49976,91925
HI2011_T02.hex,2020-09-15T07:54:27,18,75.717,76.199,28.1960,28.1970,5.602976,5.600040,34.6942,34.6730,22.1064,22.0902,22.1005,22.0843,198.668,4.5468,203.060,101.039,194.313,4.4471,198.606,98.813,90.1367,1.6828e+00,1542.72,1542.70,-0.0419,98.68,28.1780,28.1790,20.50098,127.49976,92096
HI2011_T02.hex,2020-09-15T07:54:27,19,75.506,75.986,28.2045,28.1956,5.603858,5.599913,34.6942,34.6732,22.1037,22.0908,22.0978,22.0849,199.039,4.5553,203.439,101.241,194.632,4.4543,198.931,98.972,90.1500,1.7028e+00,1542.74,1542.69,-0.0574,98.68,28.1865,28.1776,20.50098,127.49976,92300
HI2011_T02.hex,2020-09-15T07:54:27,20,50.863,51.183,29.3674,29.3649,5.703106,5.699595,34.5410,34.5188,21.6005,21.5847,21.5963,21.5805,187.647,4.2924,191.700,97.134,183.327,4.1936,187.284,94.881,90.1129,2.8289e+00,1544.67,1544.64,-0.0718,98.68,29.3550,29.3525,20.50098,127.49976,95172
HI2011_T02.hex,2020-09-15T07:54:27,21,50.845,51.165,29.3652,29.3654,5.703065,5.699664,34.5423,34.5190,21.6023,21.5847,21.5981,21.5805,187.739,4.2946,191.795,97.179,183.544,4.1985,187.506,94.994,90.1325,2.8119e+00,1544.66,1544.64,-0.0899,98.68,29.3527,29.3529,20.50098,127.49976,95338
HI2011_T02.hex,2020-09-15T07:54:27,22,50.832,51.152,29.3879,29.3746,5.704506,5.699950,34.5358,34.5143,21.5897,21.5781,21.5855,21.5739,187.830,4.2966,191.885,97.257,183.435,4.1960,187.393,94.948,90.1198,2.8081e+00,1544.71,1544.66,-0.0892,98.68,29.3755,29.3621,20.50098,127.49976,95502
HI2011_T02.hex,2020-09-15T07:54:27,23,30.582,30.773,29.8100,29.8106,5.742554,5.738761,34.4976,34.4715,21.4168,21.3971,21.4142,21.3945,182.161,4.1662,186.062,94.927,178.411,4.0804,182.228,92.959,90.1119,2.2929e+00,1545.21,1545.18,-0.0936,98.68,29.8024,29.8030,20.50098,127.49976,98145
HI2011_T02.hex,2020-09-15T07:54:27,24,30.359,30.549,29.8124,29.8109,5.743175,5.738878,34.5002,34.4722,21.4179,21.3974,21.4154,21.3949,183.542,4.1978,187.473,95.652,178.671,4.0863,182.494,93.095,90.1219,1.8718e+00,1545.21,1545.18,-0.0911,98.68,29.8048,29.8034,20.50098,127.49976,98295
HI2011_T02.hex,2020-09-15T07:54:27,25,30.383,30.573,29.8159,29.8105,5.743889,5.738747,34.5025,34.4716,21.4185,21.3971,21.4159,21.3946,182.858,4.1821,186.775,95.302,178.530,4.0831,182.350,93.021,90.1293,1.2208e+00,1545.23,1545.18,-0.0917,75.42,29.8084,29.8030,20.50098,127.49976,98466
HI2011_T02.hex,2020-09-15T07:54:27,26,20.444,20.572,29.8531,29.8543,5.746087,5.742370,34.4936,34.4677,21.3983,21.3785,21.3966,21.3768,181.867,4.1594,185.759,94.836,178.275,4.0772,182.086,92.949,90.1378,3.2184e+00,1545.12,1545.10,-0.0917,98.68,29.8480,29.8492,20.50098,127.49976,100731
HI2011_T02.hex,2020-09-15T07:54:27,27,20.145,20.271,29.8502,29.8531,5.745694,5.742245,34.4931,34.4677,21.3989,21.3789,21.3972,21.3772,183.051,4.1865,186.968,95.448,177.854,4.0675,181.656,92.728,90.1272,2.8676e+00,1545.11,1545.09,-0.0842,98.68,29.8452,29.8481,20.50098,127.49976,100900
HI2011_T02.hex,2020-09-15T07:54:27,28,12.062,12.137,29.8896,29.8904,5.750194,5.746401,34.4977,34.4715,21.3883,21.3684,21.3872,21.3673,182.851,4.1818,186.761,95.405,178.403,4.0801,182.215,93.071,90.1452,7.7329e+00,1545.06,1545.04,-0.0892,98.68,29.8866,29.8874,20.50098,127.49976,103036
HI2011_T02.hex,2020-09-15T07:54:27,29,10.121,10.184,29.9575,29.9293,5.758632,5.751205,34.5069,34.4768,21.3719,21.3589,21.3710,21.3580,183.019,4.1856,186.930,95.600,177.846,4.0673,181.644,92.840,90.1569,9.0701e+00,1545.18,1545.09,-0.0955,98.68,29.9550,29.9268,20.50098,127.49976,103867
HI2011_T02.hex,2020-09-15T07:54:27,30,10.261,10.325,29.9667,29.9589,5.759732,5.754707,34.5077,34.4793,21.3694,21.3507,21.3685,21.3499,182.770,4.1799,186.676,95.485,177.964,4.0699,181.763,92.946,90.1601,9.3215e+00,1545.20,1545.16,-0.1285,98.68,29.9641,29.9564,20.50098,127.49976,104019
HI2011_T02.hex,2020-09-15T07:54:27,31,10.331,10.395,29.9592,29.9629,5.758740,5.755226,34.5063,34.4799,21.3709,21.3499,21.3700,21.3490,183.320,4.1925,187.237,95.760,177.775,4.0656,181.571,92.854,90.1579,9.0938e+00,1545.19,1545.17,-0.1017,98.68,29.9566,29.9604,20.50098,127.49976,104188
HI2011_T02.hex,2020-09-15T07:54:27,32,7.382,7.428,29.9601,29.9612,5.758705,5.754890,34.5063,34.4797,21.3703,21.3500,21.3697,21.3494,183.051,4.1864,186.963,95.621,178.033,4.0715,181.834,92.986,90.1817,6.0000e+00,1545.14,1545.11,-0.1054,98.68,29.9583,29.9594,20.50098,127.49976,105348
HI2011_T02.hex,2020-09-15T07:54:27,33,6.980,7.023,29.9607,29.9629,5.758711,5.754993,34.5060,34.4793,21.3699,21.3491,21.3693,21.3485,182.388,4.1712,186.286,95.275,178.020,4.0712,181.821,92.981,90.1542,5.3349e+00,1545.13,1545.11,-0.0886,98.68,29.9589,29.9611,20.50098,127.49976,105522
HI2011_T02.hex,2020-09-15T07:54:27,34,2.522,2.538,29.9775,29.9744,5.760819,5.756402,34.5095,34.4819,21.3664,21.3468,21.3662,21.3466,182.370,4.1708,186.266,95.293,177.881,4.0680,181.678,92.927,90.1145,1.3392e+01,1545.09,1545.06,-0.1248,98.68,29.9768,29.9737,20.50100,127.49976,106082
HI2011_T02.hex,2020-09-15T07:54:27,35,2.772,2.789,29.9740,29.9759,5.760388,5.756640,34.5090,34.4824,21.3672,21.3466,21.3670,21.3464,183.142,4.1884,187.055,95.690,177.743,4.0649,181.537,92.857,90.1907,1.1130e+01,1545.09,1545.07,-0.0998,98.68,29.9733,29.9752,20.50098,127.49976,106228
HI2011_T02.hex,2020-09-15T07:54:27,36,2.668,2.684,29.9748,29.9752,5.760431,5.756486,34.5088,34.4818,21.3668,21.3464,21.3666,21.3462,182.286,4.1688,186.181,95.244,177.946,4.0695,181.744,92.962,90.1124,8.9813e+00,1545.09,1545.06,-0.1235,98.68,29.9741,29.9745,20.50098,127.49976,106390
